SRA_id,Condition,Replicate,Factor,Genome,Cell_type,Time_point
SRR5493432,uninduced_0min,1,myc,mm10,mef,0
SRR5493454,uninduced_0min,2,myc,mm10,mef,0
SRR5493476,uninduced_0min,3,myc,mm10,mef,0
SRR5493433,induced_10min,1,myc,mm10,mef,1/6
SRR5493455,induced_10min,2,myc,mm10,mef,1/6
SRR5493477,induced_10min,3,myc,mm10,mef,1/6
SRR5493434,induced_20min,1,myc,mm10,mef,2/6
SRR5493456,induced_20min,2,myc,mm10,mef,2/6
SRR5493478,induced_20min,3,myc,mm10,mef,2/6
SRR5493435,induced_30min,1,myc,mm10,mef,1/2
SRR5493457,induced_30min,2,myc,mm10,mef,1/2
SRR5493479,induced_30min,3,myc,mm10,mef,1/2
SRR5493438,induced_2h,1,myc,mm10,mef,2
SRR5493460,induced_2h,2,myc,mm10,mef,2
SRR5493482,induced_2h,3,myc,mm10,mef,2
SRR5493439,induced_4h,1,myc,mm10,mef,4
SRR5493461,induced_4h,2,myc,mm10,mef,4
SRR5493483,induced_4h,3,myc,mm10,mef,4
